Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
Virtual Maximum,Random Forest,0.1,2711,47.982300884955755,0.8533501896333755,0.8250614390074034,0.8809300674903456,0.5809837415105988,0.5632281255630276,0.5978746741769855,0.24898561416451495,0.22924056996554049,0.2679399521287821,0.9605307927866621,0.952106264435331,0.9682440359229024,675,2036,116,2823,False
Virtual Maximum,Random Forest,0.137,2057,36.4070796460177,0.7699115044247787,0.7364587614741746,0.8025,0.7019962955340605,0.6834387507205573,0.7178347700110052,0.29606222654350994,0.2713133046837981,0.3186546660541438,0.9493459504592263,0.9411097668110291,0.9579938003570222,609,1448,182,3411,True
Virtual Maximum,Random Forest,0.15,1851,32.76106194690265,0.729456384323641,0.6930875248650186,0.7636605497061724,0.7378061329491665,0.7207419659283303,0.7535116386831905,0.3117233927606699,0.28586666666666666,0.33666351126500876,0.9436693866807054,0.9347122774762348,0.9523312163644247,577,1274,214,3585,False
Virtual Maximum,Random Forest,0.2,1310,23.1858407079646,0.6144121365360303,0.5744618517287234,0.6533101148124192,0.8304177814365096,0.8156526812554435,0.8431672609106234,0.3709923664122137,0.3398572520446634,0.4004730305922322,0.9297235023041475,0.9197542434663932,0.9379333643988816,486,824,305,4035,False
Virtual Maximum,Random Forest,0.25,977,17.292035398230087,0.5410872313527181,0.4980179649484209,0.5810777813070754,0.8870137888454415,0.8751017419627446,0.8977439143565298,0.43807574206755373,0.40135130108534367,0.4729371843434343,0.9223197089664027,0.9121969508276181,0.9308651534960964,428,549,363,4310,False
Virtual Maximum,Random Forest,0.3,712,12.601769911504423,0.43236409608091025,0.39014298793623436,0.47212248039398164,0.9238526445770735,0.9140950047917862,0.9323825238773366,0.4803370786516854,0.4354515399083108,0.5217391304347826,0.9090724989874444,0.8987722917551877,0.9185850564045314,342,370,449,4489,False
Virtual Maximum,Random Forest,0.4,387,6.849557522123893,0.26422250316055623,0.2282659166886711,0.30366660602262696,0.9633669479316732,0.9563861005345948,0.9690691530303257,0.5400516795865633,0.483856455759184,0.5973382716049384,0.889416682500475,0.8785926020205657,0.8996579732234969,209,178,582,4681,False
Virtual Maximum,Random Forest,0.5,177,3.132743362831859,0.14032869785082175,0.11267372446600131,0.17032439165117363,0.9864169582218564,0.9823469309908889,0.9897945107623507,0.6271186440677966,0.549332358674464,0.6994227549827854,0.8757536999817285,0.8649932214289413,0.8860590226932458,111,66,680,4793,False
Virtual Maximum,Neural Network,0.1,2373,42.0,0.8040455120101138,0.7684976657660302,0.8362595915841584,0.6425190368388557,0.6242038075857091,0.6583014893408394,0.26801517067003794,0.24625245323218928,0.2904707617572038,0.9527006408300275,0.943336999798084,0.9612246400788758,636,1737,155,3122,False
Virtual Maximum,Neural Network,0.15,1730,30.619469026548675,0.7104930467762326,0.673770838155218,0.7481709300939662,0.7596213212595184,0.7435250757225209,0.7734704618224122,0.3248554913294798,0.2976977158172654,0.35116827771920683,0.9415816326530613,0.9329204154030045,0.9509214328121908,562,1168,229,3691,False
Virtual Maximum,Neural Network,0.156,1681,29.752212389380535,0.706700379266751,0.669817710878702,0.7446605915760046,0.769088289771558,0.7536429653273286,0.782682646565808,0.3325401546698394,0.3060349422195656,0.3589611616121704,0.9415469891660367,0.93267873998959,0.9506674687165866,559,1122,232,3737,True
Virtual Maximum,Neural Network,0.2,1328,23.504424778761063,0.618204804045512,0.578883010063397,0.6584425630500358,0.8273307264869315,0.812627143936414,0.8405801420784548,0.3682228915662651,0.3364432376079498,0.3995418915750155,0.9301249421564091,0.9206176287380639,0.9394923316030507,489,839,302,4020,False
Virtual Maximum,Neural Network,0.25,1057,18.70796460176991,0.561314791403287,0.5218877050965588,0.6009752193594394,0.8738423543939082,0.8612452347545236,0.8850743391033352,0.42005676442762535,0.3853883893033987,0.45572064226219694,0.9244502503810146,0.9149392089690207,0.9337501772178037,444,613,347,4246,False
Virtual Maximum,Neural Network,0.3,838,14.831858407079645,0.49304677623261695,0.45406574661303456,0.5325758286583439,0.9077999588392673,0.8970189862899874,0.9179351634674691,0.46539379474940334,0.4275063311139688,0.5031076759561,0.9166666666666666,0.9071488149092135,0.926294212913117,390,448,401,4411,False
Virtual Maximum,Neural Network,0.4,566,10.017699115044248,0.38558786346396967,0.34491858631564515,0.4270836693548387,0.946285243877341,0.9382556384742952,0.9533611788371383,0.5388692579505301,0.49413822158085197,0.5837884258304106,0.9044059795436664,0.8941476274746905,0.9141522819698904,305,261,486,4598,False
Virtual Maximum,Neural Network,0.5,392,6.938053097345133,0.28445006321112515,0.2464442553402943,0.32429820704850265,0.9656307882280305,0.9592255904475112,0.9713935764600129,0.5739795918367347,0.5175090395108803,0.6286693764516705,0.892354507417269,0.8816199283327346,0.9027187990471606,225,167,566,4692,False
